size,method,time_ms,gflops,bandwidth_gbs,arithmetic_intensity,compute_efficiency,memory_efficiency
500,hals_gpu_strict,85.92,23.277467411545622,2.444134078212291,9.523809523809524,0.06291207408525844,0.35116868939831763
500,hals_gpu_block,62.44,32.03074951953876,3.36322869955157,9.523809523809524,0.0865695932960507,0.4832225143033865
1000,hals_gpu_strict,86.33,92.66767056643114,6.023398586818024,15.384615384615385,0.25045316369305715,0.8654308314393712
1000,hals_gpu_block,62.58,127.83636944710771,8.309364014062002,15.384615384615385,0.34550370120839924,1.193874139951437
1500,hals_gpu_strict,88.97,202.31538720917163,10.452961672473867,19.35483870967742,0.546798343808572,1.5018623092634866
1500,hals_gpu_block,62.7,287.08133971291863,14.832535885167463,19.35483870967742,0.7758955127376179,2.131111477753946
2000,hals_gpu_strict,90.75,352.6170798898072,15.867768595041323,22.22222222222222,0.9530191348373167,2.279851809632374
2000,hals_gpu_block,63.65,502.74941084053415,22.62372348782404,22.22222222222222,1.358782191460903,3.250534983882764
3000,hals_gpu_strict,97.61,737.6293412560188,28.275791414814055,26.08695652173913,1.9935928142054564,4.062613709025007
3000,hals_gpu_block,68.89,1045.144433154304,40.06386993758165,26.08695652173913,2.8247146842008215,5.7563031519513865
4000,hals_gpu_strict,106.6,1200.750469043152,42.026266416510325,28.571428571428573,3.2452715379544648,6.03825666903884
4000,hals_gpu_block,78.23,1636.2009459286717,57.26703310750351,28.571428571428573,4.4221647187261395,8.228021998204527
6000,hals_gpu_strict,114.76,2509.5852213314743,79.47019867549669,31.57894736842105,6.782662760355336,11.418131993605845
6000,hals_gpu_block,85.89,3353.1260915124,106.182326231226,31.57894736842105,9.062502950033513,15.256081355061207
8000,hals_gpu_strict,133.22,3843.266776760246,115.29800330280739,33.333333333333336,10.387207504757422,16.56580507224244
8000,hals_gpu_block,105.52,4852.160727824109,145.56482183472326,33.333333333333336,13.113947913038132,20.91448589579357
10000,hals_gpu_strict,158.91,5034.296142470581,145.99458813164685,34.48275862068966,13.60620579046103,20.976233926960756
10000,hals_gpu_block,130.28,6140.620202640467,178.0779858765735,34.48275862068966,16.596270817947207,25.585917511001945
12000,hals_gpu_strict,191.73,6008.449381943358,170.23939915506182,35.294117647058826,16.239052383630696,24.459683786646814
12000,hals_gpu_block,164.48,7003.891050583658,198.443579766537,35.294117647058826,18.929435271847726,28.51200858714612
16000,hals_gpu_strict,272.77,7508.157055394656,206.47431902335302,36.36363636363637,20.2923163659315,29.6658504343898
16000,hals_gpu_block,245.75,8333.672431332656,229.17599186164801,36.36363636363637,22.523439003601773,32.927585037593104
24000,hals_gpu_strict,500.44,9207.897050595477,245.5439213492127,37.5,24.88620824485264,35.27929904442711
24000,hals_gpu_block,473.5,9731.784582893348,259.5142555438226,37.5,26.302120494306347,37.286530968940035
32000,hals_gpu_strict,811.36,10096.627884046538,265.0364819562216,38.095238095238095,27.28818347039605,38.07995430405483
32000,hals_gpu_block,785.96,10422.922286121431,273.60171001068755,38.095238095238095,28.170060232760623,39.31059051877695
