size,method,time_ms,iterations,error,time_per_iter
500,hals_cpu,119.43,50,0.03463742,2.3886000000000003
500,hals_gpu_strict,85.92,50,0.03462873,1.7184
500,hals_gpu_block,62.44,50,0.02966935,1.2488
1000,hals_cpu,415.12,50,0.03702178,8.3024
1000,hals_gpu_strict,86.33,50,0.03520441,1.7266
1000,hals_gpu_block,62.58,50,0.03135826,1.2516
1500,hals_cpu,907.83,50,0.04151072,18.1566
1500,hals_gpu_strict,88.97,50,0.03705084,1.7793999999999999
1500,hals_gpu_block,62.7,50,0.04225457,1.254
2000,hals_cpu,1847.5,50,0.03857831,36.95
2000,hals_gpu_strict,90.75,50,0.03801502,1.815
2000,hals_gpu_block,63.65,50,0.1287107,1.273
3000,hals_cpu,4804.27,50,0.04136375,96.0854
3000,hals_gpu_strict,97.61,50,0.03725322,1.9522
3000,hals_gpu_block,68.89,50,0.08003889,1.3778
4000,hals_cpu,8447.37,50,0.0429242,168.94740000000002
4000,hals_gpu_strict,106.6,50,0.04169392,2.1319999999999997
4000,hals_gpu_block,78.23,50,0.1201944,1.5646
6000,hals_cpu,18968.95,50,0.04485871,379.379
6000,hals_gpu_strict,114.76,50,0.03811286,2.2952
6000,hals_gpu_block,85.89,50,0.1749744,1.7178
8000,hals_cpu,33673.99,50,0.04449901,673.4798
8000,hals_gpu_strict,133.22,50,0.04513715,2.6644
8000,hals_gpu_block,105.52,50,0.1147006,2.1104
10000,hals_cpu,52704.83,50,0.04499519,1054.0966
10000,hals_gpu_strict,158.91,50,0.08826815,3.1782
10000,hals_gpu_block,130.28,50,0.1846735,2.6056
12000,hals_cpu,75976.8,50,0.045145,1519.536
12000,hals_gpu_strict,191.73,50,0.03976126,3.8346
12000,hals_gpu_block,164.48,50,0.06191486,3.2895999999999996
16000,hals_cpu,135168.86,50,0.04587189,2703.3772
16000,hals_gpu_strict,272.77,50,0.04074723,5.4554
16000,hals_gpu_block,245.75,50,0.08117966,4.915
24000,hals_cpu,303914.59,50,0.04655778,6078.291800000001
24000,hals_gpu_strict,500.44,50,0.04248053,10.0088
24000,hals_gpu_block,473.5,50,0.07655689,9.47
32000,hals_cpu,542603.38,50,0.04674995,10852.0676
32000,hals_gpu_strict,811.36,50,0.03996998,16.2272
32000,hals_gpu_block,785.96,50,0.0981909,15.7192
