size,method,time_ms,iterations,error,time_per_iter
250,mu_naive,5.19,100,0.2383083,0.0519
250,mu_l2_memory,49.38,100,0.2383082,0.4938
250,mu_l3_compute,49.87,100,0.2383082,0.4987
500,mu_naive,8.43,100,0.2311648,0.0843
500,mu_l2_memory,58.51,100,0.2311647,0.5851
500,mu_l3_compute,59.83,100,0.2311647,0.5982999999999999
750,mu_naive,13.87,100,0.2257577,0.1387
750,mu_l2_memory,60.07,100,0.2257577,0.6007
750,mu_l3_compute,60.72,100,0.2257577,0.6072
1000,mu_naive,18.38,100,0.2270216,0.1838
1000,mu_l2_memory,61.37,100,0.2270216,0.6137
1000,mu_l3_compute,59.44,100,0.2270216,0.5943999999999999
1500,mu_naive,37.36,100,0.2290737,0.3736
1500,mu_l2_memory,63.89,100,0.2290735,0.6389
1500,mu_l3_compute,67.25,100,0.2290735,0.6725
2000,mu_naive,59.68,100,0.221734,0.5968
2000,mu_l2_memory,70.47,100,0.221734,0.7047
2000,mu_l3_compute,69.33,100,0.221734,0.6933
3000,mu_naive,110.72,100,0.2223959,1.1072
3000,mu_l2_memory,78.55,100,0.2223958,0.7855
3000,mu_l3_compute,79.17,100,0.2223958,0.7917000000000001
4000,mu_naive,253.96,100,0.2223534,2.5396
4000,mu_l2_memory,97.14,100,0.2223534,0.9714
4000,mu_l3_compute,101.48,100,0.2223534,1.0148000000000001
6000,mu_naive,373.94,100,0.2342442,3.7394
6000,mu_l2_memory,115.38,100,0.2342443,1.1538
6000,mu_l3_compute,113.59,100,0.2342443,1.1359000000000001
8000,mu_naive,823.29,100,0.2576813,8.232899999999999
8000,mu_l2_memory,150.05,100,0.2576812,1.5005000000000002
8000,mu_l3_compute,156.14,100,0.2576812,1.5614
10000,mu_naive,1004.61,100,0.2967812,10.046100000000001
10000,mu_l2_memory,203.52,100,0.2967812,2.0352
10000,mu_l3_compute,205.73,100,0.2967812,2.0572999999999997
12000,mu_naive,1915.03,100,0.3360857,19.1503
12000,mu_l2_memory,273.32,100,0.3360857,2.7332
12000,mu_l3_compute,275.75,100,0.3360857,2.7575
16000,mu_naive,3605.76,100,0.3701485,36.0576
16000,mu_l2_memory,430.77,100,0.3701485,4.3077
16000,mu_l3_compute,433.85,100,0.3701485,4.3385
24000,mu_naive,9659.98,100,0.4269089,96.5998
24000,mu_l2_memory,893.6,100,0.4269091,8.936
24000,mu_l3_compute,895.11,100,0.4269091,8.9511
32000,mu_naive,18803.8,100,0.4434045,188.03799999999998
32000,mu_l2_memory,1520.33,100,0.4434044,15.203299999999999
32000,mu_l3_compute,1521.12,100,0.4434044,15.211199999999998
250,mu_l4_2gpu,76.21,100,0.2383082,
250,mu_l5_sync5,70.49,100,0.239525,
250,mu_l5_sync10,68.55,100,0.2401369,
500,mu_l4_2gpu,81.86,100,0.2311647,
500,mu_l5_sync5,77.47,100,0.2325933,
500,mu_l5_sync10,75.45,100,0.2330909,
750,mu_l4_2gpu,84.96,100,0.2257577,
750,mu_l5_sync5,76.63,100,0.2275418,
750,mu_l5_sync10,77.74,100,0.2280446,
1000,mu_l4_2gpu,88.13,100,0.2270216,
1000,mu_l5_sync5,76.39,100,0.2283829,
1000,mu_l5_sync10,75.86,100,0.2287532,
1500,mu_l4_2gpu,95.5,100,0.2290736,
1500,mu_l5_sync5,78.13,100,0.2301611,
1500,mu_l5_sync10,79.9,100,0.2304444,
2000,mu_l4_2gpu,96.31,100,0.221734,
2000,mu_l5_sync5,82.13,100,0.2228882,
2000,mu_l5_sync10,82.77,100,0.223172,
3000,mu_l4_2gpu,114.9,100,0.2223958,
3000,mu_l5_sync5,96.44,100,0.2229617,
3000,mu_l5_sync10,89.55,100,0.2231238,
4000,mu_l4_2gpu,143.68,100,0.2223533,
4000,mu_l5_sync5,109.28,100,0.2226511,
4000,mu_l5_sync10,102.58,100,0.2227428,
6000,mu_l4_2gpu,171.99,100,0.2342443,
6000,mu_l5_sync5,127.81,100,0.2345135,
6000,mu_l5_sync10,112.23,100,0.2345895,
8000,mu_l4_2gpu,230.27,100,0.2576812,
8000,mu_l5_sync5,156.64,100,0.2579662,
8000,mu_l5_sync10,139.5,100,0.2580403,
10000,mu_l4_2gpu,300.74,100,0.2967812,
10000,mu_l5_sync5,190.03,100,0.2969161,
10000,mu_l5_sync10,175.17,100,0.2969805,
12000,mu_l4_2gpu,353.52,100,0.3360858,
12000,mu_l5_sync5,227.13,100,0.3363281,
12000,mu_l5_sync10,210.79,100,0.3364043,
16000,mu_l4_2gpu,548.02,100,0.3701485,
16000,mu_l5_sync5,330.52,100,0.3701733,
16000,mu_l5_sync10,306.31,100,0.3701994,
24000,mu_l4_2gpu,1063.91,100,0.4269091,
24000,mu_l5_sync5,655.54,100,0.4271036,
24000,mu_l5_sync10,587.55,100,0.4271545,
32000,mu_l4_2gpu,1726.56,100,0.4434045,
32000,mu_l5_sync5,1066.0,100,0.4434195,
32000,mu_l5_sync10,979.37,100,0.4434225,
