method,size,arithmetic_intensity,achieved_gflops,peak_efficiency_pct
mu_naive,250,15.715823466092573,112.52408477842003,0.30086653684069525
mu_l2_memory,250,15.715823466092573,11.826650465775618,0.03162206006891877
mu_l3_compute,250,15.715823466092573,11.710447162622819,0.03131135604979363
mu_naive,500,17.461340206185568,257.1767497034401,0.6876383681910163
mu_l2_memory,500,17.461340206185568,37.05349512903777,0.09907351638780153
mu_l3_compute,500,17.461340206185568,36.23600200568277,0.09688770589754751
mu_naive,750,18.195742073824476,342.60994953136264,0.916069383773697
mu_l2_memory,750,18.195742073824476,79.1077076743799,0.211517934958235
mu_l3_compute,750,18.195742073824476,78.26086956521739,0.20925366193908393
mu_naive,1000,18.600499821492324,453.5364526659412,1.2126643119410192
mu_l2_memory,1000,18.600499821492324,135.8318396610722,0.36318673706169036
mu_l3_compute,1000,18.600499821492324,140.24226110363392,0.37497930776372707
mu_naive,1500,19.0339038841343,495.2890792291221,1.3243023508800056
mu_l2_memory,1500,19.0339038841343,289.622789168884,0.7743924844087808
mu_l3_compute,1500,19.0339038841343,275.1524163568773,0.7357016480130409
mu_naive,2000,19.262333742099802,547.4530831099196,1.4637782970853466
mu_l2_memory,2000,19.262333742099802,463.62991343834256,1.2396521749688303
mu_l3_compute,2000,19.262333742099802,471.2534256454637,1.260035897447764
mu_naive,3000,19.49916670227768,659.393063583815,1.7630830577107353
mu_l2_memory,3000,19.49916670227768,929.4462126034373,2.4851503010787095
mu_l3_compute,3000,19.49916670227768,922.167487684729,2.465688469745265
mu_naive,4000,19.620882988276982,509.30855252795715,1.3617875736041636
mu_l2_memory,4000,19.620882988276982,1331.5215153386864,3.560217955451033
mu_l3_compute,4000,19.620882988276982,1274.5762711864406,3.4079579443487718
mu_naive,6000,19.744882953344735,775.5682729849708,2.0737119598528633
mu_l2_memory,6000,19.744882953344735,2513.572542901716,6.720782200271969
mu_l3_compute,6000,19.744882953344735,2553.1824984593713,6.82669117235126
mu_naive,8000,19.807759804434703,625.1600286654764,1.6715508787846962
mu_l2_memory,8000,19.807759804434703,3430.1099633455515,9.171417014292919
mu_l3_compute,8000,19.807759804434703,3296.3238119636226,8.813700031988295
mu_naive,10000,19.84577136058751,799.6735051412986,2.1381644522494616
mu_l2_memory,10000,19.84577136058751,3947.327044025157,10.554350385094004
mu_l3_compute,10000,19.84577136058751,3904.923929422058,10.440973073321011
mu_naive,12000,19.871232477358422,603.6626058077419,1.614071138523374
mu_l2_memory,12000,19.871232477358422,4229.591687399386,11.309068682886057
mu_l3_compute,12000,19.871232477358422,4192.319129646419,11.20940943755727
mu_naive,16000,19.903194939213805,569.4710685126021,1.5226499158090965
mu_l2_memory,16000,19.903194939213805,4766.757202219282,12.745340112885781
mu_l3_compute,16000,19.903194939213805,4732.916906765011,12.65485803947864
mu_naive,24000,19.93530960799502,477.85440549566357,1.2776855761916137
mu_l2_memory,24000,19.93530960799502,5165.69382273948,13.812015568822138
mu_l3_compute,24000,19.93530960799502,5156.979589100781,13.788715478879093
mu_naive,32000,19.951424365105712,436.2284219147194,1.1663861548521908
mu_l2_memory,32000,19.951424365105712,5395.376003893892,14.42613904784463
mu_l3_compute,32000,19.951424365105712,5392.573892921006,14.418646772516059
mu_l4_2gpu,250,15.715823466092573,7.663036346936098,0.020489401997155342
mu_l5_sync5,250,15.715823466092573,8.2848631011491,0.02215204037740401
mu_l5_sync10,250,15.715823466092573,8.519328956965719,0.022778954430389624
mu_l4_2gpu,500,17.461340206185568,26.484241387735157,0.07081347964635068
mu_l5_sync5,500,17.461340206185568,27.9850264618562,0.07482627396218235
mu_l5_sync10,500,17.461340206185568,28.73426110006627,0.07682957513386703
mu_l4_2gpu,750,18.195742073824476,55.932203389830505,0.14955134596211364
mu_l5_sync5,750,18.195742073824476,62.01226673626517,0.165808199829586
mu_l5_sync10,750,18.195742073824476,61.126833033187545,0.1634407300352608
mu_l4_2gpu,1000,18.600499821492324,94.58754113241802,0.25290786399042253
mu_l5_sync5,1000,18.600499821492324,109.12423092027753,0.29177601850341583
mu_l5_sync10,1000,18.600499821492324,109.8866332718165,0.29381452746475
mu_l4_2gpu,1500,19.0339038841343,193.7591623036649,0.5180726264803874
mu_l5_sync5,1500,19.0339038841343,236.83604249328042,0.6332514505167925
mu_l5_sync10,1500,19.0339038841343,231.58948685857322,0.6192232268945808
mu_l4_2gpu,2000,19.262333742099802,339.2378776866369,0.9070531488947511
mu_l5_sync5,2000,19.262333742099802,397.80835261171313,1.0636586968227624
mu_l5_sync10,2000,19.262333742099802,394.7323909629093,1.0554342004355863
mu_l4_2gpu,3000,19.49916670227768,635.4046997389034,1.6989430474302232
mu_l5_sync5,3000,19.49916670227768,757.0302778929905,2.0241451280561247
mu_l5_sync10,3000,19.49916670227768,815.2763819095477,2.1798833740896995
mu_l4_2gpu,4000,19.620882988276982,900.2227171492204,2.40701261269845
mu_l5_sync5,4000,19.620882988276982,1183.601756954612,3.1647105800925455
mu_l5_sync10,4000,19.620882988276982,1260.908559173328,3.371413259821733
mu_l4_2gpu,6000,19.744882953344735,1686.2375719518577,4.508656609496946
mu_l5_sync5,6000,19.744882953344735,2269.1182223613177,6.067161022356465
mu_l5_sync10,6000,19.744882953344735,2584.1218925421013,6.90941682497888
mu_l4_2gpu,8000,19.807759804434703,2235.150041255917,5.976337008705661
mu_l5_sync5,8000,19.807759804434703,3285.8018386108274,8.785566413397934
mu_l5_sync10,8000,19.807759804434703,3689.5197132616486,9.86502597128783
mu_l4_2gpu,10000,19.84577136058751,2671.2775154618607,7.142453249898023
mu_l5_sync5,10000,19.84577136058751,4227.543019523233,11.303590961292066
mu_l5_sync10,10000,19.84577136058751,4586.173431523663,12.262495806213002
mu_l4_2gpu,12000,19.871232477358422,3270.061099796334,8.743478876460786
mu_l5_sync5,12000,19.871232477358422,5089.737154933298,13.608922874153203
mu_l5_sync10,12000,19.871232477358422,5484.282935623132,14.66385811663939
mu_l4_2gpu,16000,19.903194939213805,3746.899748184373,10.018448524557147
mu_l5_sync5,16000,19.903194939213805,6212.562023478155,16.611128405021805
mu_l5_sync10,16000,19.903194939213805,6703.587868499233,17.924031733955168
mu_l4_2gpu,24000,19.93530960799502,4338.773016514554,11.600997370359769
mu_l5_sync5,24000,19.93530960799502,7041.6206486255605,18.82786269685979
mu_l5_sync10,24000,19.93530960799502,7856.461577738065,21.006581758657926
mu_l4_2gpu,32000,19.951424365105712,4750.922064683533,12.703000172950624
mu_l5_sync5,32000,19.951424365105712,7694.889305816135,20.57457033640678
mu_l5_sync10,32000,19.951424365105712,8375.53937735483,22.394490313782967
